Ticker,Name,Available,Total,Coverage_%,First_date,Last_date,Full_period
AAPL,Apple,96,96,100.0,2014-07-31,2022-06-30,True
PG,Procter & Gamble,96,96,100.0,2014-07-31,2022-06-30,True
MCD,McDonald's,96,96,100.0,2014-07-31,2022-06-30,True
MMM,3M,96,96,100.0,2014-07-31,2022-06-30,True
MRK,Merck,96,96,100.0,2014-07-31,2022-06-30,True
MSFT,Microsoft,96,96,100.0,2014-07-31,2022-06-30,True
NKE,Nike,96,96,100.0,2014-07-31,2022-06-30,True
PFE,Pfizer,96,96,100.0,2014-07-31,2022-06-30,True
RTX,Raytheon Technologies,96,96,100.0,2014-07-31,2022-06-30,True
AMGN,Amgen,96,96,100.0,2014-07-31,2022-06-30,True
T,AT&T,96,96,100.0,2014-07-31,2022-06-30,True
TRV,Travelers,96,96,100.0,2014-07-31,2022-06-30,True
UNH,UnitedHealth,96,96,100.0,2014-07-31,2022-06-30,True
V,Visa,96,96,100.0,2014-07-31,2022-06-30,True
VZ,Verizon,96,96,100.0,2014-07-31,2022-06-30,True
WMT,Walmart,96,96,100.0,2014-07-31,2022-06-30,True
KO,Coca-Cola,96,96,100.0,2014-07-31,2022-06-30,True
JPM,JPMorgan Chase,96,96,100.0,2014-07-31,2022-06-30,True
JNJ,Johnson & Johnson,96,96,100.0,2014-07-31,2022-06-30,True
INTC,Intel,96,96,100.0,2014-07-31,2022-06-30,True
AXP,American Express,96,96,100.0,2014-07-31,2022-06-30,True
BA,Boeing,96,96,100.0,2014-07-31,2022-06-30,True
CAT,Caterpillar,96,96,100.0,2014-07-31,2022-06-30,True
CRM,Salesforce,96,96,100.0,2014-07-31,2022-06-30,True
CSCO,Cisco,96,96,100.0,2014-07-31,2022-06-30,True
CVX,Chevron,96,96,100.0,2014-07-31,2022-06-30,True
DD,DuPont,96,96,100.0,2014-07-31,2022-06-30,True
DIS,Walt Disney,96,96,100.0,2014-07-31,2022-06-30,True
GE,General Electric,96,96,100.0,2014-07-31,2022-06-30,True
GS,Goldman Sachs,96,96,100.0,2014-07-31,2022-06-30,True
HD,Home Depot,96,96,100.0,2014-07-31,2022-06-30,True
HON,Honeywell,96,96,100.0,2014-07-31,2022-06-30,True
IBM,IBM,96,96,100.0,2014-07-31,2022-06-30,True
XOM,ExxonMobil,96,96,100.0,2014-07-31,2022-06-30,True
DOW,Dow Inc.,40,96,41.7,2019-03-31,2022-06-30,False
UTX,United Technologies,0,96,0.0,,,False
WBA,Walgreens Boots,0,96,0.0,,,False
