Ticker,Name,Available,Total,Coverage_%,First_date,Last_date,Full_period
ADANIPORTS.NS,Adani Ports,96,96,100.0,2014-07-31,2022-06-30,True
SBIN.NS,State Bank of India,96,96,100.0,2014-07-31,2022-06-30,True
JSWSTEEL.NS,JSW Steel,96,96,100.0,2014-07-31,2022-06-30,True
LT.NS,Larsen & Toubro,96,96,100.0,2014-07-31,2022-06-30,True
LUPIN.NS,Lupin,96,96,100.0,2014-07-31,2022-06-30,True
M&M.NS,Mahindra & Mahindra,96,96,100.0,2014-07-31,2022-06-30,True
MARUTI.NS,Maruti Suzuki,96,96,100.0,2014-07-31,2022-06-30,True
NESTLEIND.NS,Nestle India,96,96,100.0,2014-07-31,2022-06-30,True
NTPC.NS,NTPC,96,96,100.0,2014-07-31,2022-06-30,True
ONGC.NS,ONGC,96,96,100.0,2014-07-31,2022-06-30,True
POWERGRID.NS,Power Grid Corp,96,96,100.0,2014-07-31,2022-06-30,True
RELIANCE.NS,Reliance Industries,96,96,100.0,2014-07-31,2022-06-30,True
SHREECEM.NS,Shree Cement,96,96,100.0,2014-07-31,2022-06-30,True
IOC.NS,Indian Oil,96,96,100.0,2014-07-31,2022-06-30,True
SUNPHARMA.NS,Sun Pharma,96,96,100.0,2014-07-31,2022-06-30,True
TATACONSUM.NS,Tata Consumer,96,96,100.0,2014-07-31,2022-06-30,True
TATASTEEL.NS,Tata Steel,96,96,100.0,2014-07-31,2022-06-30,True
TCS.NS,TCS,96,96,100.0,2014-07-31,2022-06-30,True
TECHM.NS,Tech Mahindra,96,96,100.0,2014-07-31,2022-06-30,True
TITAN.NS,Titan Company,96,96,100.0,2014-07-31,2022-06-30,True
ULTRACEMCO.NS,UltraTech Cement,96,96,100.0,2014-07-31,2022-06-30,True
UPL.NS,UPL,96,96,100.0,2014-07-31,2022-06-30,True
VEDL.NS,Vedanta,96,96,100.0,2014-07-31,2022-06-30,True
WIPRO.NS,Wipro,96,96,100.0,2014-07-31,2022-06-30,True
ASIANPAINT.NS,Asian Paints,96,96,100.0,2014-07-31,2022-06-30,True
ITC.NS,ITC,96,96,100.0,2014-07-31,2022-06-30,True
INFY.NS,Infosys,96,96,100.0,2014-07-31,2022-06-30,True
INDUSINDBK.NS,IndusInd Bank,96,96,100.0,2014-07-31,2022-06-30,True
AXISBANK.NS,Axis Bank,96,96,100.0,2014-07-31,2022-06-30,True
BAJAJ-AUTO.NS,Bajaj Auto,96,96,100.0,2014-07-31,2022-06-30,True
BAJAJFINSV.NS,Bajaj Finserv,96,96,100.0,2014-07-31,2022-06-30,True
BAJFINANCE.NS,Bajaj Finance,96,96,100.0,2014-07-31,2022-06-30,True
BHARTIARTL.NS,Bharti Airtel,96,96,100.0,2014-07-31,2022-06-30,True
BPCL.NS,BPCL,96,96,100.0,2014-07-31,2022-06-30,True
BRITANNIA.NS,Britannia,96,96,100.0,2014-07-31,2022-06-30,True
CIPLA.NS,Cipla,96,96,100.0,2014-07-31,2022-06-30,True
COALINDIA.NS,Coal India,96,96,100.0,2014-07-31,2022-06-30,True
DIVISLAB.NS,Divi's Labs,96,96,100.0,2014-07-31,2022-06-30,True
DRREDDY.NS,Dr Reddy's Labs,96,96,100.0,2014-07-31,2022-06-30,True
EICHERMOT.NS,Eicher Motors,96,96,100.0,2014-07-31,2022-06-30,True
GAIL.NS,GAIL India,96,96,100.0,2014-07-31,2022-06-30,True
HCLTECH.NS,HCL Technologies,96,96,100.0,2014-07-31,2022-06-30,True
HDFCBANK.NS,HDFC Bank,96,96,100.0,2014-07-31,2022-06-30,True
HEROMOTOCO.NS,Hero MotoCorp,96,96,100.0,2014-07-31,2022-06-30,True
HINDALCO.NS,Hindalco,96,96,100.0,2014-07-31,2022-06-30,True
HINDUNILVR.NS,Hindustan Unilever,96,96,100.0,2014-07-31,2022-06-30,True
ICICIBANK.NS,ICICI Bank,96,96,100.0,2014-07-31,2022-06-30,True
ZEEL.NS,Zee Entertainment,96,96,100.0,2014-07-31,2022-06-30,True
SBILIFE.NS,SBI Life,57,96,59.4,2017-10-31,2022-06-30,False
HDFCLIFE.NS,HDFC Life,56,96,58.3,2017-11-30,2022-06-30,False
TATAMOTORS.NS,Tata Motors,0,96,0.0,,,False
HDFC.NS,HDFC Ltd,0,96,0.0,,,False
